client_id,Variation
147316,Control
147852,Test
148037,Control
148076,Control
148099,Control
148169,NA
148217,Test
148310,NA
148347,Test
148369,Test
148391,Test
148428,NA
148445,Control
148448,Test
148850,Test
148954,Control
149108,Test
149192,Test
149265,Test
149593,Control
149635,Test
149685,Control
150095,Test
150273,NA
150540,NA
150541,NA
150741,NA
151086,NA
151250,Test
151444,Control
151529,NA
151682,NA
151897,Test
152353,NA
152356,Control
152661,Test
152694,NA
153066,NA
153808,NA
153841,Control
154143,Test
154147,Test
154150,Control
154458,Control
154640,Control
154658,Control
154782,Test
154809,Test
154921,NA
155252,NA
155526,Control
155721,NA
155934,NA
156105,Test
156163,NA
156894,Control
156945,Control
157059,NA
157106,Test
157209,Test
157617,NA
157842,NA
157852,Control
157871,Control
157923,NA
158047,Test
158141,Test
158201,Test
158886,NA
159268,Control
159558,Test
159617,Control
159687,Test
159728,Test
159823,Control
159875,Test
159908,Test
159954,NA
159970,Test
160085,Control
160144,Test
160239,NA
160466,Control
160616,Control
160654,Test
160710,NA
160741,Test
160786,NA
160938,Control
161074,Control
161108,Control
161127,Control
161440,Test
161491,Control
161722,NA
161771,Test
161792,Control
161977,NA
162082,NA
162101,NA
162127,Test
162388,Test
162575,Control
162867,Test
162894,Test
163907,Test
164324,Test
165301,Control
165428,Control
165476,NA
165765,Test
165890,Control
165900,Test
166017,Test
166042,NA
166154,Test
166289,Control
166315,Test
166702,Control
166715,Control
167496,Control
168042,NA
168104,NA
168266,Test
168267,NA
168528,NA
168539,Test
168727,Control
168860,NA
168940,Control
168989,Test
169185,Test
169234,NA
169245,NA
169560,Test
169620,Test
169784,Test
169891,NA
170249,NA
170258,NA
170383,Test
170462,Test
170507,Control
170616,NA
170660,Control
170798,Test
170865,Control
170895,Control
170896,Control
170936,NA
171096,Test
171133,NA
171300,NA
171484,Test
171492,Test
171537,NA
171583,Test
171597,Test
171619,NA
171971,Test
172422,Test
172447,NA
172734,NA
172850,NA
172858,Test
173084,Control
173122,Control
173501,NA
173595,NA
173784,Control
174111,NA
174238,Test
174244,Test
174360,Control
174800,Control
174806,Control
175033,Control
175128,Control
175196,Control
175625,Test
175752,Test
175784,Control
175907,Test
176044,NA
176114,Test
176524,NA
176534,NA
176808,Control
176935,NA
176963,Test
176966,Test
177267,NA
177581,Control
177765,Test
177788,NA
177876,Control
177990,Control
178125,Test
178131,NA
178214,Test
178297,NA
178493,Control
178853,Control
178885,NA
179027,Control
179076,Control
179119,Test
179176,NA
179358,Test
179489,Control
179663,NA
179667,Test
180142,Control
180381,Control
180404,Control
180425,Test
180509,NA
180807,NA
180953,Control
181125,Test
181254,Test
181531,NA
181660,NA
181951,NA
182074,Test
182574,Control
182575,Control
182591,Control
182739,Test
182755,NA
182813,NA
183077,Test
183287,Control
183399,Control
183518,NA
183618,NA
183713,Control
183720,Test
183742,NA
183855,Control
183922,NA
184127,Test
184211,Control
184216,Test
184396,Test
184701,Test
184963,Control
184969,NA
184988,NA
185096,Test
185435,NA
185443,NA
185553,Control
185675,Test
185881,Control
185963,Test
186246,Control
186402,NA
186550,Test
186612,Control
186646,NA
186857,Test
186892,NA
186895,NA
187217,NA
187284,NA
187308,Test
187326,Test
187451,NA
187498,Test
187547,Test
187837,Control
187901,Control
187902,Test
188427,Control
188807,Control
189053,Control
189242,NA
189267,Control
189299,Control
189571,Control
189572,Test
190001,Test
190197,Control
190246,Test
190580,Test
190598,Test
191001,NA
191300,Test
191373,Control
191574,NA
191585,NA
191619,Test
191738,NA
191749,Control
191877,Test
192049,Test
192084,NA
192160,Test
192386,Test
192518,Test
192546,NA
192577,Test
192654,Test
192775,Test
192865,NA
193054,Control
193111,Test
193303,Test
193305,Test
193444,NA
193457,Test
193613,Control
193835,Control
194030,NA
194066,Test
194223,NA
194255,NA
194329,Control
194397,NA
194470,Test
194602,NA
194675,NA
194686,Control
194784,Test
194816,Test
195080,Test
195166,Test
195310,Control
195323,NA
195416,NA
195446,Control
195455,Test
195496,NA
195655,Test
195714,Control
195846,NA
196053,Control
196077,NA
196103,Control
196286,Control
196491,NA
196492,NA
196531,Test
196588,NA
196635,Test
196675,Control
196865,Control
196988,Test
197279,NA
197335,Control
197374,Test
197431,NA
197468,NA
197518,Control
197560,Test
197793,Test
197859,NA
197886,NA
197955,Control
198133,NA
198652,Test
198714,NA
198773,Control
198857,Control
198932,Control
198935,Test
199329,NA
199386,Test
200308,Test
200352,Control
200372,Control
200598,Test
200604,Control
200638,NA
200648,Test
200698,Test
200707,Test
200748,NA
200757,NA
201225,Control
201292,NA
201392,Control
201394,Test
201447,Test
201641,Test
201846,Test
201909,Test
202013,NA
202072,NA
202221,NA
202371,Test
202437,NA
202639,NA
202856,Control
202865,Control
202925,Control
202973,Test
203027,Test
203223,Test
203427,Control
203500,Test
203702,Control
203797,Test
