Client ID,Client Tenure (Years),Client Tenure (Months),Client Age,Gender,Number of Accounts,Balance,Calls Last 6 Months,Logons Last 6 Months
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
6150.0,27.0,329.0,67.0,F,2,199928.94,2,6
6642.0,12.0,149.0,35.5,M,2,34987.23,0,3
6642.0,12.0,149.0,35.5,M,2,34987.23,0,3
6642.0,12.0,149.0,35.5,M,2,34987.23,0,3
6642.0,12.0,149.0,35.5,M,2,34987.23,0,3
6642.0,12.0,149.0,35.5,M,2,34987.23,0,3
6904.0,12.0,155.0,64.5,M,2,348285.51,6,9
6904.0,12.0,155.0,64.5,M,2,348285.51,6,9
6904.0,12.0,155.0,64.5,M,2,348285.51,6,9
6904.0,12.0,155.0,64.5,M,2,348285.51,6,9
6904.0,12.0,155.0,64.5,M,2,348285.51,6,9
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7020.0,16.0,195.0,41.5,F,2,63648.09,2,5
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7561.0,11.0,141.0,33.0,M,2,35070.62,6,9
7563.0,8.0,106.0,29.5,M,3,186719.52,6,9
7563.0,8.0,106.0,29.5,M,3,186719.52,6,9
7563.0,8.0,106.0,29.5,M,3,186719.52,6,9
7563.0,8.0,106.0,29.5,M,3,186719.52,6,9
7563.0,8.0,106.0,29.5,M,3,186719.52,6,9
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7567.0,21.0,252.0,33.0,F,2,27165.99,1,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7657.0,18.0,218.0,41.5,M,2,55643.37,2,5
7723.0,30.0,364.0,54.5,M,4,571316.80,5,8
7723.0,30.0,364.0,54.5,M,4,571316.80,5,8
7723.0,30.0,364.0,54.5,M,4,571316.80,5,8
7723.0,30.0,364.0,54.5,M,4,571316.80,5,8
7723.0,30.0,364.0,54.5,M,4,571316.80,5,8
7934.0,20.0,241.0,44.0,F,2,126480.90,6,9
7934.0,20.0,241.0,44.0,F,2,126480.90,6,9
7934.0,20.0,241.0,44.0,F,2,126480.90,6,9
8023.0,21.0,257.0,50.0,F,2,34676.55,3,6
8023.0,21.0,257.0,50.0,F,2,34676.55,3,6
8055.0,22.0,269.0,55.5,M,2,710672.04,5,8
8055.0,22.0,269.0,55.5,M,2,710672.04,5,8
8055.0,22.0,269.0,55.5,M,2,710672.04,5,8
8055.0,22.0,269.0,55.5,M,2,710672.04,5,8
8055.0,22.0,269.0,55.5,M,2,710672.04,5,8
8101.0,11.0,143.0,70.5,M,2,257863.03,6,9
8101.0,11.0,143.0,70.5,M,2,257863.03,6,9
8101.0,11.0,143.0,70.5,M,2,257863.03,6,9
8101.0,11.0,143.0,70.5,M,2,257863.03,6,9
8101.0,11.0,143.0,70.5,M,2,257863.03,6,9
8124.0,14.0,170.0,42.0,M,2,61022.23,5,8
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9229.0,8.0,105.0,42.0,M,2,78242.15,6,9
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9751.0,5.0,63.0,36.0,M,2,30597.08,4,7
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9767.0,6.0,75.0,34.0,M,2,29523.54,1,4
9845.0,5.0,60.0,25.0,F,2,31196.85,0,3
9916.0,17.0,211.0,40.5,M,2,162968.55,4,7
9916.0,17.0,211.0,40.5,M,2,162968.55,4,7
9916.0,17.0,211.0,40.5,M,2,162968.55,4,7
